Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
10:48:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:48:18,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:49:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:50:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:50:38,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:51:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:51:38,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:52:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:52:38,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:53:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:53:38,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:54:16,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:54:38,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:56:57,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:58:58,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:59:00,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:59:58,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
11:00:00,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
